date,buoyid,obs,mle
2010-06-20,46211,11.9792,11.9792
2010-06-21,46041,12.4875,12.4875
2010-06-21,46050,14.05,14.05
2010-06-21,46087,NA,8.2246
2010-06-21,46211,12.4,12.4
2010-06-22,46041,13.4167,13.4167
2010-06-22,46050,14.2208,14.2208
2010-06-22,46087,NA,8.6238
2010-06-22,46211,13.7,13.7
2010-06-23,46041,13.3476,13.3476
2010-06-23,46050,14.575,14.575
2010-06-23,46087,NA,8.7241
2010-06-23,46211,13.9543,13.9543
2010-06-24,46041,13.0458,13.0458
2010-06-24,46050,14.0833,14.0833
2010-06-24,46087,NA,8.5551
2010-06-24,46211,13.610900000000001,13.610900000000001
2010-06-25,46041,12.5625,12.5625
2010-06-25,46050,14.1542,14.1542
2010-06-25,46087,NA,8.5407
2010-06-25,46211,13.8486,13.8486
2010-06-26,46041,13.025,13.025
2010-06-26,46050,13.9292,13.9292
2010-06-26,46087,NA,8.539
2010-06-26,46211,13.5152,13.5152
2010-06-27,46041,13.2125,13.2125
2010-06-27,46050,13.8458,13.8458
2010-06-27,46087,NA,8.582
2010-06-27,46211,13.5938,13.5938
2010-06-28,46041,12.4542,12.4542
2010-06-28,46050,14.2208,14.2208
2010-06-28,46087,NA,8.485
2010-06-28,46211,13.2884,13.2884
2010-06-29,46041,13.1333,13.1333
2010-06-29,46050,14.7375,14.7375
2010-06-29,46087,NA,8.7502
2010-06-29,46211,13.6587,13.6587
2010-06-30,46041,13.5083,13.5083
